,lente,rapide,benef
519,20,11,14.342
520,21,11,10.036
521,22,11,8.677
522,23,11,14.399
523,24,11,16.015
524,25,11,16.432
525,26,11,19.467
526,27,11,-13.788
527,28,11,-14.04
528,29,11,-14.04
529,30,11,-12.62
530,31,11,-14.303
531,32,11,-14.71
532,33,11,-14.71
533,34,11,-14.71
534,35,11,-13.437
535,36,11,-13.437
536,37,11,-13.437
537,38,11,-11.277
538,39,11,-9.651
539,40,11,-9.651
540,41,11,-10.72
541,42,11,-10.72
542,43,11,-10.72
543,44,11,-10.575
544,45,11,-10.948
545,46,11,-7.539
546,47,11,-7.539
547,48,11,-7.539
548,49,11,-5.53
549,50,11,-5.53
550,1,12,6.838
551,2,12,10.13
552,3,12,6.917
553,4,12,2.69
554,5,12,0.792
555,6,12,4.445
556,7,12,0.188
557,8,12,-1.301
558,9,12,-3.811
559,10,12,-5.059
560,11,12,-1.142
561,12,12,0.0
562,13,12,30.322
563,14,12,28.612
564,15,12,24.804
565,16,12,23.418
566,17,12,14.601
567,18,12,16.876
568,19,12,18.641
569,20,12,14.297
570,21,12,8.022
571,22,12,12.621
572,23,12,16.511
573,24,12,15.594
574,25,12,18.593
575,26,12,20.38
576,27,12,20.126
577,28,12,-12.501
578,29,12,-12.769
579,30,12,-12.769
580,31,12,-13.024
581,32,12,-12.569
582,33,12,-13.437
583,34,12,-13.437
584,35,12,-13.437
585,36,12,-13.075
586,37,12,-9.231
587,38,12,-9.231
588,39,12,-9.231
589,40,12,-8.307
590,41,12,-7.952
591,42,12,-6.395
592,43,12,-6.395
593,44,12,-9.387
594,45,12,-9.387
595,46,12,-9.387
596,47,12,-9.387
597,48,12,-9.387
598,49,12,-7.268
599,50,12,-5.135
600,1,13,11.111
601,2,13,7.859
602,3,13,3.881
603,4,13,4.206
604,5,13,3.834
605,6,13,5.24
606,7,13,-2.507
607,8,13,-2.939
608,9,13,-7.766
609,10,13,-12.256
610,11,13,-9.454
611,12,13,-10.779
612,13,13,0.0
613,14,13,24.152
614,15,13,17.422
615,16,13,17.133
616,17,13,24.376
617,18,13,13.6
618,19,13,11.223
619,20,13,11.192
620,21,13,11.971
621,22,13,14.332
622,23,13,16.705
623,24,13,17.625
624,25,13,19.795
625,26,13,22.28
626,27,13,20.477
627,28,13,-12.246
628,29,13,-12.769
629,30,13,-11.129
630,31,13,-11.129
631,32,13,-11.81
632,33,13,-14.901
633,34,13,-14.545
634,35,13,-14.545
635,36,13,-14.545
636,37,13,-14.683
637,38,13,-12.554
638,39,13,-11.074
639,40,13,-11.074
640,41,13,-11.074
641,42,13,-11.074
642,43,13,-10.455
643,44,13,-7.202
644,45,13,-6.546
645,46,13,-8.003
646,47,13,-7.19
647,48,13,-7.039
648,49,13,-7.039
649,50,13,-5.699
650,1,14,13.101
651,2,14,9.981
652,3,14,7.791
653,4,14,8.529
654,5,14,4.577
655,6,14,4.129
656,7,14,-3.975
657,8,14,-5.432
658,9,14,-6.384
659,10,14,-9.675
660,11,14,-7.821
661,12,14,-9.119
662,13,14,-8.84
663,14,14,0.0
664,15,14,16.833
665,16,14,22.988
666,17,14,19.751
667,18,14,8.743
668,19,14,10.267
669,20,14,10.513
670,21,14,13.224
671,22,14,17.782
672,23,14,17.268
673,24,14,15.543
674,25,14,17.893
675,26,14,17.008
676,27,14,19.4
677,28,14,-13.729
678,29,14,-13.993
679,30,14,-13.993
680,31,14,-14.132
681,32,14,-14.633
682,33,14,-14.683
683,34,14,-14.683
684,35,14,-14.683
685,36,14,-13.239
686,37,14,-13.239
687,38,14,-12.472
688,39,14,-12.472
689,40,14,-10.918
690,41,14,-10.828
691,42,14,-10.918
692,43,14,-10.918
693,44,14,-10.854
694,45,14,-10.918
695,46,14,-6.382
696,47,14,-5.032
697,48,14,-5.032
698,49,14,-6.361
699,50,14,-6.361
700,1,15,18.882
701,2,15,7.448
702,3,15,5.958
703,4,15,4.07
704,5,15,4.868
705,6,15,3.883
706,7,15,-5.59
707,8,15,-7.094
708,9,15,-7.095
709,10,15,-10.726
710,11,15,-6.234
711,12,15,-6.784
712,13,15,-1.072
713,14,15,-2.956
714,15,15,0.0
715,16,15,22.468
716,17,15,13.417
717,18,15,16.799
718,19,15,11.997
719,20,15,10.776
720,21,15,14.588
721,22,15,9.669
722,23,15,9.671
723,24,15,16.988
724,25,15,17.511
725,26,15,17.587
726,27,15,19.621
727,28,15,21.077
728,29,15,-11.052
729,30,15,-11.052
730,31,15,-12.098
731,32,15,-13.626
732,33,15,-13.518
733,34,15,-11.468
734,35,15,-9.97
735,36,15,-9.97
736,37,15,-10.398
737,38,15,-9.744
738,39,15,-9.744
739,40,15,-9.744
740,41,15,-7.492
741,42,15,-8.374
742,43,15,-7.426
743,44,15,-9.569
744,45,15,-9.422
745,46,15,-9.422
746,47,15,-8.146
747,48,15,-4.81
748,49,15,-4.81
749,50,15,-4.81
750,1,16,16.043
751,2,16,7.534
752,3,16,2.804
753,4,16,3.602
754,5,16,0.892
755,6,16,2.17
756,7,16,-0.012
757,8,16,-7.269
758,9,16,-7.117
759,10,16,-7.005
760,11,16,-5.856
761,12,16,-5.737
762,13,16,-0.827
763,14,16,-4.489
764,15,16,-8.406
765,16,16,0.0
766,17,16,7.778
767,18,16,16.069
768,19,16,13.009
769,20,16,14.588
770,21,16,10.693
771,22,16,13.54
772,23,16,8.491
773,24,16,17.668
774,25,16,21.869
775,26,16,20.811
776,27,16,23.186
777,28,16,24.258
778,29,16,24.179
779,30,16,-10.265
780,31,16,-10.265
781,32,16,-10.042
782,33,16,-9.929
783,34,16,-10.192
784,35,16,-8.672
785,36,16,-9.313
786,37,16,-9.166
787,38,16,-8.978
788,39,16,-9.346
789,40,16,-9.346
790,41,16,-9.346
791,42,16,-8.069
792,43,16,-5.674
793,44,16,-5.674
794,45,16,-5.674
795,46,16,-7.857
796,47,16,-7.857
797,48,16,-7.857
798,49,16,-8.146
799,50,16,-4.81
800,1,17,15.215
801,2,17,4.79
802,3,17,2.277
803,4,17,1.768
804,5,17,-2.341
805,6,17,-0.935
806,7,17,-1.051
807,8,17,-4.748
808,9,17,-4.527
809,10,17,-1.787
810,11,17,-4.021
811,12,17,-0.204
812,13,17,-5.555
813,14,17,-1.907
814,15,17,3.343
815,16,17,8.751
816,17,17,0.0
817,18,17,11.471
818,19,17,9.121
819,20,17,11.582
820,21,17,10.666
821,22,17,5.653
822,23,17,12.222
823,24,17,20.712
824,25,17,21.869
825,26,17,22.591
826,27,17,25.204
