,lente,rapide,benef
409,10,9,12.28
410,11,9,9.604
411,12,9,8.483
412,13,9,10.723
413,14,9,12.078
414,15,9,8.96
415,16,9,7.144
416,17,9,6.849
417,18,9,5.971
418,19,9,-4.702
419,20,9,-5.488
420,21,9,-5.935
421,22,9,-5.109
422,23,9,-4.796
423,24,9,-4.224
424,25,9,-5.298
425,26,9,-2.619
426,27,9,-2.342
427,28,9,0.231
428,29,9,0.435
429,30,9,2.399
430,31,9,2.399
431,32,9,1.601
432,33,9,1.232
433,34,9,1.232
434,35,9,-1.723
435,36,9,-1.723
436,37,9,-2.016
437,38,9,-2.18
438,39,9,-1.429
439,40,9,-1.429
440,41,9,-1.408
441,42,9,-1.622
442,43,9,-1.643
443,44,9,-1.643
444,45,9,-1.643
445,46,9,-2.461
446,47,9,-2.832
447,48,9,-4.009
448,49,9,-2.832
449,50,9,-2.879
450,1,10,10.519
451,2,10,9.916
452,3,10,14.209
453,4,10,12.414
454,5,10,10.673
455,6,10,12.664
456,7,10,4.519
457,8,10,1.41
458,9,10,-0.007
459,10,10,0.0
460,11,10,8.254
461,12,10,5.795
462,13,10,12.654
463,14,10,10.825
464,15,10,10.024
465,16,10,7.535
466,17,10,5.652
467,18,10,4.16
468,19,10,5.766
469,20,10,-6.174
470,21,10,-4.451
471,22,10,-4.03
472,23,10,-2.426
473,24,10,-0.896
474,25,10,-1.794
475,26,10,0.206
476,27,10,1.213
477,28,10,1.463
478,29,10,1.929
479,30,10,3.711
480,31,10,2.902
481,32,10,1.256
482,33,10,1.254
483,34,10,-1.702
484,35,10,-1.77
485,36,10,-3.572
486,37,10,-3.572
487,38,10,-3.572
488,39,10,-2.86
489,40,10,-3.011
490,41,10,-1.561
491,42,10,-1.561
492,43,10,-3.818
493,44,10,-3.877
494,45,10,-3.877
495,46,10,-2.441
496,47,10,-3.349
497,48,10,-3.369
498,49,10,-3.369
499,50,10,-3.369
500,1,11,11.66
501,2,11,9.328
502,3,11,10.278
503,4,11,12.271
504,5,11,11.968
505,6,11,5.594
506,7,11,3.341
507,8,11,2.448
508,9,11,1.397
509,10,11,3.371
510,11,11,0.0
511,12,11,9.473
512,13,11,11.198
513,14,11,8.235
514,15,11,10.578
515,16,11,12.605
516,17,11,7.1
517,18,11,8.943
518,19,11,7.947
519,20,11,-5.198
520,21,11,-4.409
