Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
26/12/2019,"14,00","14,00","14,00","14,00","522,49K","0,00%",14.0,14.0,14.0,14.0
27/12/2019,"14,00","14,00","14,00","14,00","25,24K","0,00%",14.0,14.0,14.0,14.0
30/12/2019,"14,00","14,00","14,00","14,00","74,27K","0,00%",14.0,14.0,14.0,14.0
31/12/2019,"14,00","14,00","14,00","14,00","0,15K","0,00%",14.0,14.0,14.0,14.0
02/01/2020,"14,00","14,00","14,00","14,00","0,30K","0,00%",14.0,14.0,14.0,14.0
03/01/2020,"14,00","14,00","14,00","14,00","11,90K","0,00%",14.0,14.0,14.0,14.0
06/01/2020,"14,00","14,00","14,00","14,00","675,55K","0,00%",14.0,14.0,14.0,14.0
07/01/2020,"13,00","13,00","13,00","13,00","1,43M","-7,14%",13.0,13.0,13.0,13.0
08/01/2020,"14,00","14,00","14,00","14,00","213,15K","7,69%",14.0,14.0,14.0,14.0
09/01/2020,"14,00","14,00","14,00","14,00","10,95K","0,00%",14.0,14.0,14.0,14.0
10/01/2020,"13,00","13,00","13,00","13,00","121,63K","-7,14%",13.0,13.0,13.0,13.0
13/01/2020,"13,00","13,00","13,00","13,00","141,28K","0,00%",13.0,13.0,13.0,13.0
14/01/2020,"13,00","13,00","13,00","13,00","76,39K","0,00%",13.0,13.0,13.0,13.0
15/01/2020,"14,00","14,00","14,00","14,00","26,78K","7,69%",14.0,14.0,14.0,14.0
16/01/2020,"13,00","13,00","13,00","13,00","0,86K","-7,14%",13.0,13.0,13.0,13.0
17/01/2020,"14,00","14,00","14,00","14,00","8,63K","7,69%",14.0,14.0,14.0,14.0
20/01/2020,"14,00","14,00","14,00","14,00","397,76K","0,00%",14.0,14.0,14.0,14.0
21/01/2020,"13,00","13,00","13,00","13,00","14,50K","-7,14%",13.0,13.0,13.0,13.0
22/01/2020,"13,00","13,00","13,00","13,00","26,00K","0,00%",13.0,13.0,13.0,13.0
23/01/2020,"13,00","13,00","13,00","13,00","111,45K","0,00%",13.0,13.0,13.0,13.0
24/01/2020,"14,00","14,00","14,00","14,00","4,82K","7,69%",14.0,14.0,14.0,14.0
27/01/2020,"13,00","13,00","13,00","13,00","1,07M","-7,14%",13.0,13.0,13.0,13.0
28/01/2020,"13,00","13,00","13,00","13,00","24,21K","0,00%",13.0,13.0,13.0,13.0
29/01/2020,"13,00","13,00","13,00","13,00","10,00M","0,00%",13.0,13.0,13.0,13.0
30/01/2020,"13,00","13,00","13,00","13,00","108,49K","0,00%",13.0,13.0,13.0,13.0
31/01/2020,"13,00","13,00","13,00","13,00","444,76K","0,00%",13.0,13.0,13.0,13.0
03/02/2020,"13,00","13,00","13,00","13,00","135,43K","0,00%",13.0,13.0,13.0,13.0
04/02/2020,"13,00","13,00","13,00","13,00","1,65M","0,00%",13.0,13.0,13.0,13.0
05/02/2020,"13,00","13,00","13,00","13,00","256,22K","0,00%",13.0,13.0,13.0,13.0
06/02/2020,"13,00","13,00","13,00","13,00","165,16K","0,00%",13.0,13.0,13.0,13.0
07/02/2020,"13,00","13,00","13,00","13,00","55,50K","0,00%",13.0,13.0,13.0,13.0
10/02/2020,"13,00","13,00","13,00","13,00","11,33K","0,00%",13.0,13.0,13.0,13.0
