Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
21/10/2014,"273,28","273,28","273,28","273,28",,"-0,08%",273.28,273.28,273.28,273.28
22/10/2014,"272,50","272,50","272,50","272,50",,"-0,29%",272.5,272.5,272.5,272.5
23/10/2014,"272,36","272,36","272,36","272,36",,"-0,05%",272.36,272.36,272.36,272.36
24/10/2014,"271,63","271,63","271,63","271,63",,"-0,27%",271.63,271.63,271.63,271.63
27/10/2014,"272,31","272,31","272,31","272,31",,"0,25%",272.31,272.31,272.31,272.31
28/10/2014,"274,13","274,13","274,13","274,13",,"0,67%",274.13,274.13,274.13,274.13
29/10/2014,"272,75","272,75","272,75","272,75",,"-0,50%",272.75,272.75,272.75,272.75
30/10/2014,"272,50","272,50","272,50","272,50",,"-0,09%",272.5,272.5,272.5,272.5
31/10/2014,"272,84","272,84","272,84","272,84",,"0,12%",272.84,272.84,272.84,272.84
03/11/2014,"276,92","276,92","276,92","276,92",,"1,50%",276.92,276.92,276.92,276.92
04/11/2014,"275,37","275,37","275,37","275,37",,"-0,56%",275.37,275.37,275.37,275.37
05/11/2014,"276,87","276,87","276,87","276,87",,"0,54%",276.87,276.87,276.87,276.87
06/11/2014,"278,93","278,93","278,93","278,93",,"0,74%",278.93,278.93,278.93,278.93
07/11/2014,"278,93","278,93","278,93","278,93",,"0,00%",278.93,278.93,278.93,278.93
10/11/2014,"275,79","275,79","275,79","275,79",,"-1,13%",275.79,275.79,275.79,275.79
11/11/2014,"275,89","275,89","275,89","275,89",,"0,04%",275.89,275.89,275.89,275.89
12/11/2014,"276,42","276,42","276,42","276,42",,"0,19%",276.42,276.42,276.42,276.42
13/11/2014,"279,56","279,56","279,56","279,56",,"1,14%",279.56,279.56,279.56,279.56
14/11/2014,"279,56","279,56","279,56","279,56",,"0,00%",279.56,279.56,279.56,279.56
17/11/2014,"279,86","279,86","279,86","279,86",,"0,11%",279.86,279.86,279.86,279.86
18/11/2014,"290,78","290,78","290,78","290,78",,"3,90%",290.78,290.78,290.78,290.78
19/11/2014,"290,78","290,78","290,78","290,78",,"0,00%",290.78,290.78,290.78,290.78
20/11/2014,"286,98","286,98","286,98","286,98",,"-1,31%",286.98,286.98,286.98,286.98
21/11/2014,"279,84","279,84","279,84","279,84",,"-2,49%",279.84,279.84,279.84,279.84
