Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
16/06/2020,1.295,1.295,1.295,1.295,"0,29K","-0,38%",1.295,1.295,1.295,1.295
17/06/2020,1.295,1.295,1.295,1.295,"1,31K","0,00%",1.295,1.295,1.295,1.295
18/06/2020,1.235,1.235,1.235,1.235,"1,64K","-4,63%",1.235,1.235,1.235,1.235
19/06/2020,1.23,1.23,1.23,1.23,"1,36K","-0,40%",1.23,1.23,1.23,1.23
22/06/2020,1.23,1.23,1.23,1.23,"14,04K","0,00%",1.23,1.23,1.23,1.23
23/06/2020,1.225,1.225,1.225,1.225,"3,57K","-0,41%",1.225,1.225,1.225,1.225
24/06/2020,1.22,1.22,1.22,1.22,"0,55K","-0,41%",1.22,1.22,1.22,1.22
25/06/2020,1.2,1.2,1.2,1.2,"3,47K","-1,64%",1.2,1.2,1.2,1.2
26/06/2020,1.25,1.25,1.25,1.25,"0,03K","4,17%",1.25,1.25,1.25,1.25
29/06/2020,1.25,1.25,1.25,1.25,"0,61K","0,00%",1.25,1.25,1.25,1.25
30/06/2020,1.24,1.24,1.24,1.24,"3,76K","-0,80%",1.24,1.24,1.24,1.24
01/07/2020,1.24,1.24,1.24,1.24,"0,45K","0,00%",1.24,1.24,1.24,1.24
02/07/2020,1.24,1.24,1.24,1.24,"42,09K","0,00%",1.24,1.24,1.24,1.24
03/07/2020,1.275,1.275,1.275,1.275,"1,95K","2,82%",1.275,1.275,1.275,1.275
06/07/2020,1.275,1.275,1.275,1.275,"5,86K","0,00%",1.275,1.275,1.275,1.275
07/07/2020,1.275,1.275,1.275,1.275,"0,02K","0,00%",1.275,1.275,1.275,1.275
08/07/2020,1.29,1.29,1.29,1.29,"0,09K","1,18%",1.29,1.29,1.29,1.29
09/07/2020,1.275,1.275,1.275,1.275,"0,15K","-1,16%",1.275,1.275,1.275,1.275
10/07/2020,1.195,1.195,1.195,1.195,"1,76K","-6,27%",1.195,1.195,1.195,1.195
13/07/2020,1.2,1.2,1.2,1.2,"0,40K","0,42%",1.2,1.2,1.2,1.2
14/07/2020,1.2,1.2,1.2,1.2,"0,35K","0,00%",1.2,1.2,1.2,1.2
15/07/2020,1.2,1.2,1.2,1.2,"0,43K","0,00%",1.2,1.2,1.2,1.2
16/07/2020,1.205,1.205,1.205,1.205,"1,56K","0,42%",1.205,1.205,1.205,1.205
17/07/2020,1.29,1.29,1.29,1.29,"0,08K","7,05%",1.29,1.29,1.29,1.29
20/07/2020,1.29,1.29,1.29,1.29,"0,31K","0,00%",1.29,1.29,1.29,1.29
21/07/2020,1.285,1.285,1.285,1.285,"2,51K","-0,39%",1.285,1.285,1.285,1.285
22/07/2020,1.28,1.28,1.28,1.28,"0,08K","-0,39%",1.28,1.28,1.28,1.28
23/07/2020,1.285,1.285,1.285,1.285,"0,68K","0,39%",1.285,1.285,1.285,1.285
24/07/2020,1.285,1.285,1.285,1.285,"0,24K","0,00%",1.285,1.285,1.285,1.285
27/07/2020,1.22,1.22,1.22,1.22,"0,10K","-5,06%",1.22,1.22,1.22,1.22
28/07/2020,1.28,1.28,1.28,1.28,"6,13K","4,92%",1.28,1.28,1.28,1.28
29/07/2020,1.28,1.28,1.28,1.28,"0,89K","0,00%",1.28,1.28,1.28,1.28
30/07/2020,1.275,1.275,1.275,1.275,"2,04K","-0,39%",1.275,1.275,1.275,1.275
03/08/2020,1.21,1.21,1.21,1.21,"0,26K","-5,10%",1.21,1.21,1.21,1.21
04/08/2020,1.2,1.2,1.2,1.2,"0,43K","-0,83%",1.2,1.2,1.2,1.2
05/08/2020,1.2,1.2,1.2,1.2,"0,94K","0,00%",1.2,1.2,1.2,1.2
06/08/2020,1.195,1.195,1.195,1.195,"0,48K","-0,42%",1.195,1.195,1.195,1.195
10/08/2020,1.19,1.19,1.19,1.19,"0,26K","-0,42%",1.19,1.19,1.19,1.19
11/08/2020,1.18,1.18,1.18,1.18,"0,13K","-0,84%",1.18,1.18,1.18,1.18
12/08/2020,1.12,1.12,1.12,1.12,"0,79K","-5,08%",1.12,1.12,1.12,1.12
13/08/2020,1.12,1.12,1.12,1.12,"1,31K","0,00%",1.12,1.12,1.12,1.12
14/08/2020,1.05,1.05,1.05,1.05,"1,68K","-6,25%",1.05,1.05,1.05,1.05
17/08/2020,1.12,1.12,1.12,1.12,"0,01K","6,67%",1.12,1.12,1.12,1.12
18/08/2020,1.12,1.12,1.12,1.12,"0,71K","0,00%",1.12,1.12,1.12,1.12
19/08/2020,1.12,1.12,1.12,1.12,"0,72K","0,00%",1.12,1.12,1.12,1.12
20/08/2020,1.12,1.12,1.12,1.12,"0,14K","0,00%",1.12,1.12,1.12,1.12
21/08/2020,1.115,1.115,1.115,1.115,"1,29K","-0,45%",1.115,1.115,1.115,1.115
24/08/2020,1.1,1.1,1.1,1.1,"0,88K","-1,35%",1.1,1.1,1.1,1.1
25/08/2020,1.125,1.125,1.125,1.125,"0,10K","2,27%",1.125,1.125,1.125,1.125
26/08/2020,1.2,1.2,1.2,1.2,"6,24K","6,67%",1.2,1.2,1.2,1.2
27/08/2020,1.115,1.115,1.115,1.115,"0,77K","-7,08%",1.115,1.115,1.115,1.115
28/08/2020,1.17,1.17,1.17,1.17,"3,53K","4,93%",1.17,1.17,1.17,1.17
31/08/2020,1.245,1.245,1.245,1.245,"9,49K","6,41%",1.245,1.245,1.245,1.245
01/09/2020,1.155,1.155,1.155,1.155,"0,16K","-7,23%",1.155,1.155,1.155,1.155
02/09/2020,1.125,1.125,1.125,1.125,"0,95K","-2,60%",1.125,1.125,1.125,1.125
03/09/2020,1.125,1.125,1.125,1.125,"1,90K","0,00%",1.125,1.125,1.125,1.125
04/09/2020,1.2,1.2,1.2,1.2,"0,01K","6,67%",1.2,1.2,1.2,1.2
07/09/2020,1.14,1.14,1.14,1.14,"1,68K","-5,00%",1.14,1.14,1.14,1.14
08/09/2020,1.075,1.075,1.075,1.075,"1,51K","-5,70%",1.075,1.075,1.075,1.075
09/09/2020,1.1,1.1,1.1,1.1,"0,42K","2,33%",1.1,1.1,1.1,1.1
10/09/2020,1.1,1.1,1.1,1.1,"0,18K","0,00%",1.1,1.1,1.1,1.1
11/09/2020,1.1,1.1,1.1,1.1,"0,14K","0,00%",1.1,1.1,1.1,1.1
14/09/2020,1.09,1.09,1.09,1.09,"0,79K","-0,91%",1.09,1.09,1.09,1.09
15/09/2020,1.09,1.09,1.09,1.09,"0,76K","0,00%",1.09,1.09,1.09,1.09
16/09/2020,1.095,1.095,1.095,1.095,"2,28K","0,46%",1.095,1.095,1.095,1.095
17/09/2020,1.11,1.11,1.11,1.11,"1,28K","1,37%",1.11,1.11,1.11,1.11
18/09/2020,1.11,1.11,1.11,1.11,"0,30K","0,00%",1.11,1.11,1.11,1.11
21/09/2020,1.1,1.1,1.1,1.1,"0,76K","-0,90%",1.1,1.1,1.1,1.1
22/09/2020,1.1,1.1,1.1,1.1,"1,13K","0,00%",1.1,1.1,1.1,1.1
24/09/2020,1.05,1.05,1.05,1.05,"0,80K","-4,55%",1.05,1.05,1.05,1.05
25/09/2020,1.11,1.11,1.11,1.11,"7,96K","5,71%",1.11,1.11,1.11,1.11
28/09/2020,1.09,1.09,1.09,1.09,"0,11K","-1,80%",1.09,1.09,1.09,1.09
29/09/2020,1.1,1.1,1.1,1.1,"0,41K","0,92%",1.1,1.1,1.1,1.1
30/09/2020,1.125,1.125,1.125,1.125,"3,43K","2,27%",1.125,1.125,1.125,1.125
01/10/2020,1.105,1.105,1.105,1.105,"0,19K","-1,78%",1.105,1.105,1.105,1.105
02/10/2020,1.055,1.055,1.055,1.055,"3,25K","-4,52%",1.055,1.055,1.055,1.055
05/10/2020,1.045,1.045,1.045,1.045,"7,43K","-0,95%",1.045,1.045,1.045,1.045
06/10/2020,1.05,1.05,1.05,1.05,"0,32K","0,48%",1.05,1.05,1.05,1.05
07/10/2020,1.055,1.055,1.055,1.055,"2,42K","0,48%",1.055,1.055,1.055,1.055
08/10/2020,1.05,1.05,1.05,1.05,"2,05K","-0,47%",1.05,1.05,1.05,1.05
09/10/2020,1.05,1.05,1.05,1.05,"1,22K","0,00%",1.05,1.05,1.05,1.05
12/10/2020,1.1,1.1,1.1,1.1,"0,03K","4,76%",1.1,1.1,1.1,1.1
13/10/2020,1.05,1.05,1.05,1.05,"2,83K","-4,55%",1.05,1.05,1.05,1.05
14/10/2020,1.1,1.1,1.1,1.1,"0,25K","4,76%",1.1,1.1,1.1,1.1
15/10/2020,1.09,1.09,1.09,1.09,"0,60K","-0,91%",1.09,1.09,1.09,1.09
16/10/2020,1.125,1.125,1.125,1.125,"0,65K","3,21%",1.125,1.125,1.125,1.125
19/10/2020,1.125,1.125,1.125,1.125,"3,74K","0,00%",1.125,1.125,1.125,1.125
20/10/2020,1.12,1.12,1.12,1.12,"0,01K","-0,44%",1.12,1.12,1.12,1.12
21/10/2020,1.1,1.1,1.1,1.1,"3,21K","-1,79%",1.1,1.1,1.1,1.1
22/10/2020,1.12,1.12,1.12,1.12,"11,30K","1,82%",1.12,1.12,1.12,1.12
23/10/2020,1.12,1.12,1.12,1.12,"0,62K","0,00%",1.12,1.12,1.12,1.12
26/10/2020,1.04,1.04,1.04,1.04,"0,93K","-7,14%",1.04,1.04,1.04,1.04
27/10/2020,1.115,1.115,1.115,1.115,"3,35K","7,21%",1.115,1.115,1.115,1.115
28/10/2020,1.125,1.125,1.125,1.125,"0,89K","0,90%",1.125,1.125,1.125,1.125
30/10/2020,1.2,1.2,1.2,1.2,"8,27K","6,67%",1.2,1.2,1.2,1.2
02/11/2020,1.245,1.245,1.245,1.245,"1,46K","3,75%",1.245,1.245,1.245,1.245
03/11/2020,1.25,1.25,1.25,1.25,"0,01K","0,40%",1.25,1.25,1.25,1.25
04/11/2020,1.25,1.25,1.25,1.25,"0,64K","0,00%",1.25,1.25,1.25,1.25
05/11/2020,1.34,1.34,1.34,1.34,"0,35K","7,20%",1.34,1.34,1.34,1.34
06/11/2020,1.395,1.395,1.395,1.395,"3,20K","4,10%",1.395,1.395,1.395,1.395
09/11/2020,1.495,1.495,1.495,1.495,"5,22K","7,17%",1.495,1.495,1.495,1.495
10/11/2020,1.405,1.405,1.405,1.405,"2,41K","-6,02%",1.405,1.405,1.405,1.405
11/11/2020,1.3,1.3,1.3,1.3,"0,80K","-7,47%",1.3,1.3,1.3,1.3
12/11/2020,1.3,1.3,1.3,1.3,"0,17K","0,00%",1.3,1.3,1.3,1.3
13/11/2020,1.205,1.205,1.205,1.205,"5,91K","-7,31%",1.205,1.205,1.205,1.205
16/11/2020,1.25,1.25,1.25,1.25,"0,01K","3,73%",1.25,1.25,1.25,1.25
17/11/2020,1.34,1.34,1.34,1.34,"0,20K","7,20%",1.34,1.34,1.34,1.34
18/11/2020,1.35,1.35,1.35,1.35,"0,51K","0,75%",1.35,1.35,1.35,1.35
19/11/2020,1.395,1.395,1.395,1.395,"2,66K","3,33%",1.395,1.395,1.395,1.395
20/11/2020,1.385,1.385,1.385,1.385,"0,12K","-0,72%",1.385,1.385,1.385,1.385
23/11/2020,1.285,1.285,1.285,1.285,"0,15K","-7,22%",1.285,1.285,1.285,1.285
24/11/2020,1.3,1.3,1.3,1.3,"5,10K","1,17%",1.3,1.3,1.3,1.3
25/11/2020,1.35,1.35,1.35,1.35,"3,18K","3,85%",1.35,1.35,1.35,1.35
26/11/2020,1.3,1.3,1.3,1.3,"0,03K","-3,70%",1.3,1.3,1.3,1.3
27/11/2020,1.395,1.395,1.395,1.395,"21,92K","7,31%",1.395,1.395,1.395,1.395
30/11/2020,1.37,1.37,1.37,1.37,"0,42K","-1,79%",1.37,1.37,1.37,1.37
01/12/2020,1.3,1.3,1.3,1.3,"0,21K","-5,11%",1.3,1.3,1.3,1.3
02/12/2020,1.365,1.365,1.365,1.365,"20,27K","5,00%",1.365,1.365,1.365,1.365
03/12/2020,1.4,1.4,1.4,1.4,"2,94K","2,56%",1.4,1.4,1.4,1.4
04/12/2020,1.365,1.365,1.365,1.365,"0,07K","-2,50%",1.365,1.365,1.365,1.365
07/12/2020,1.365,1.365,1.365,1.365,"0,54K","0,00%",1.365,1.365,1.365,1.365
08/12/2020,1.35,1.35,1.35,1.35,"0,35K","-1,10%",1.35,1.35,1.35,1.35
09/12/2020,1.37,1.37,1.37,1.37,"3,07K","1,48%",1.37,1.37,1.37,1.37
10/12/2020,1.3,1.3,1.3,1.3,"0,01K","-5,11%",1.3,1.3,1.3,1.3
11/12/2020,1.37,1.37,1.37,1.37,"0,48K","5,38%",1.37,1.37,1.37,1.37
14/12/2020,1.37,1.37,1.37,1.37,"0,14K","0,00%",1.37,1.37,1.37,1.37
15/12/2020,1.32,1.32,1.32,1.32,"0,38K","-3,65%",1.32,1.32,1.32,1.32
16/12/2020,1.37,1.37,1.37,1.37,"43,14K","3,79%",1.37,1.37,1.37,1.37
17/12/2020,1.335,1.335,1.335,1.335,"0,05K","-2,55%",1.335,1.335,1.335,1.335
18/12/2020,1.345,1.345,1.345,1.345,"7,69K","0,75%",1.345,1.345,1.345,1.345
21/12/2020,1.34,1.34,1.34,1.34,"0,12K","-0,37%",1.34,1.34,1.34,1.34
22/12/2020,1.34,1.34,1.34,1.34,"0,05K","0,00%",1.34,1.34,1.34,1.34
23/12/2020,1.345,1.345,1.345,1.345,"16,25K","0,37%",1.345,1.345,1.345,1.345
24/12/2020,1.345,1.345,1.345,1.345,"0,39K","0,00%",1.345,1.345,1.345,1.345
28/12/2020,1.3,1.3,1.3,1.3,"0,21K","-3,35%",1.3,1.3,1.3,1.3
29/12/2020,1.395,1.395,1.395,1.395,"103,43K","7,31%",1.395,1.395,1.395,1.395
30/12/2020,1.495,1.495,1.495,1.495,"25,10K","7,17%",1.495,1.495,1.495,1.495
31/12/2020,1.5,1.5,1.5,1.5,"2,98K","0,33%",1.5,1.5,1.5,1.5
04/01/2021,1.45,1.45,1.45,1.45,"0,02K","-3,33%",1.45,1.45,1.45,1.45
05/01/2021,1.385,1.385,1.385,1.385,"0,45K","-4,48%",1.385,1.385,1.385,1.385
06/01/2021,1.375,1.375,1.375,1.375,"1,32K","-0,72%",1.375,1.375,1.375,1.375
07/01/2021,1.345,1.345,1.345,1.345,"2,74K","-2,18%",1.345,1.345,1.345,1.345
08/01/2021,1.3,1.3,1.3,1.3,"1,25K","-3,35%",1.3,1.3,1.3,1.3
11/01/2021,1.35,1.35,1.35,1.35,"3,56K","3,85%",1.35,1.35,1.35,1.35
12/01/2021,1.3,1.3,1.3,1.3,"4,68K","-3,70%",1.3,1.3,1.3,1.3
13/01/2021,1.345,1.345,1.345,1.345,"0,39K","3,46%",1.345,1.345,1.345,1.345
14/01/2021,1.36,1.36,1.36,1.36,"0,44K","1,12%",1.36,1.36,1.36,1.36
15/01/2021,1.38,1.38,1.38,1.38,"0,35K","1,47%",1.38,1.38,1.38,1.38
18/01/2021,1.38,1.38,1.38,1.38,"0,11K","0,00%",1.38,1.38,1.38,1.38
19/01/2021,1.35,1.35,1.35,1.35,"0,51K","-2,17%",1.35,1.35,1.35,1.35
20/01/2021,1.355,1.355,1.355,1.355,"0,29K","0,37%",1.355,1.355,1.355,1.355
22/01/2021,1.355,1.355,1.355,1.355,"0,30K","0,00%",1.355,1.355,1.355,1.355
25/01/2021,1.385,1.385,1.385,1.385,"1,72K","2,21%",1.385,1.385,1.385,1.385
26/01/2021,1.4,1.4,1.4,1.4,"0,01K","1,08%",1.4,1.4,1.4,1.4
27/01/2021,1.45,1.45,1.45,1.45,"1,65K","3,57%",1.45,1.45,1.45,1.45
28/01/2021,1.49,1.49,1.49,1.49,"0,32K","2,76%",1.49,1.49,1.49,1.49
29/01/2021,1.45,1.45,1.45,1.45,"1,59K","-2,68%",1.45,1.45,1.45,1.45
01/02/2021,1.495,1.495,1.495,1.495,"0,31K","3,10%",1.495,1.495,1.495,1.495
02/02/2021,1.475,1.475,1.475,1.475,"0,14K","-1,34%",1.475,1.475,1.475,1.475
03/02/2021,1.48,1.48,1.48,1.48,"0,60K","0,34%",1.48,1.48,1.48,1.48
04/02/2021,1.48,1.48,1.48,1.48,"0,21K","0,00%",1.48,1.48,1.48,1.48
05/02/2021,1.475,1.475,1.475,1.475,"0,32K","-0,34%",1.475,1.475,1.475,1.475
