Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
17/03/2015,120.0,120.0,120.0,120.0,"0,05K","3,45%",120.0,120.0,120.0,120.0
18/03/2015,120.0,120.0,120.0,120.0,"0,89K","0,00%",120.0,120.0,120.0,120.0
19/03/2015,120.0,120.0,120.0,120.0,"0,30K","0,00%",120.0,120.0,120.0,120.0
24/03/2015,111.0,111.0,111.0,111.0,"0,02K","-7,50%",111.0,111.0,111.0,111.0
25/03/2015,118.0,118.0,118.0,118.0,"1,05K","6,31%",118.0,118.0,118.0,118.0
31/03/2015,110.0,110.0,110.0,110.0,"0,02K","-6,78%",110.0,110.0,110.0,110.0
01/04/2015,110.0,110.0,110.0,110.0,"0,02K","0,00%",110.0,110.0,110.0,110.0
03/04/2015,110.0,110.0,110.0,110.0,"0,06K","0,00%",110.0,110.0,110.0,110.0
08/04/2015,101.75,101.75,101.75,101.75,"0,02K","-7,50%",101.75,101.75,101.75,101.75
10/04/2015,101.0,101.0,101.0,101.0,"0,02K","-0,74%",101.0,101.0,101.0,101.0
13/04/2015,101.0,101.0,101.0,101.0,"0,04K","0,00%",101.0,101.0,101.0,101.0
14/04/2015,101.0,101.0,101.0,101.0,"0,04K","0,00%",101.0,101.0,101.0,101.0
16/04/2015,101.0,101.0,101.0,101.0,"0,01K","0,00%",101.0,101.0,101.0,101.0
17/04/2015,101.0,101.0,101.0,101.0,"0,09K","0,00%",101.0,101.0,101.0,101.0
21/04/2015,101.0,101.0,101.0,101.0,"1,71K","0,00%",101.0,101.0,101.0,101.0
23/04/2015,106.0,106.0,106.0,106.0,"0,05K","4,95%",106.0,106.0,106.0,106.0
24/04/2015,113.22,113.22,113.22,113.22,"0,46K","6,81%",113.22,113.22,113.22,113.22
27/04/2015,119.995,119.995,119.995,119.995,"0,20K","5,98%",119.995,119.995,119.995,119.995
28/04/2015,125.0,125.0,125.0,125.0,"0,24K","4,17%",125.0,125.0,125.0,125.0
29/04/2015,126.0,126.0,126.0,126.0,"0,07K","0,80%",126.0,126.0,126.0,126.0
30/04/2015,125.0,125.0,125.0,125.0,"0,62K","-0,79%",125.0,125.0,125.0,125.0
11/05/2015,120.0,120.0,120.0,120.0,"0,17K","-4,00%",120.0,120.0,120.0,120.0
12/05/2015,114.5,114.5,114.5,114.5,"0,03K","-4,58%",114.5,114.5,114.5,114.5
15/05/2015,110.0,110.0,110.0,110.0,"0,05K","-3,93%",110.0,110.0,110.0,110.0
18/05/2015,109.5,109.5,109.5,109.5,"0,06K","-0,45%",109.5,109.5,109.5,109.5
19/05/2015,109.5,109.5,109.5,109.5,"0,00K","0,00%",109.5,109.5,109.5,109.5
20/05/2015,109.0,109.0,109.0,109.0,"0,67K","-0,46%",109.0,109.0,109.0,109.0
21/05/2015,111.0,111.0,111.0,111.0,"0,05K","1,83%",111.0,111.0,111.0,111.0
22/05/2015,111.0,111.0,111.0,111.0,"0,00K","0,00%",111.0,111.0,111.0,111.0
27/05/2015,113.7,113.7,113.7,113.7,"0,00K","2,43%",113.7,113.7,113.7,113.7
28/05/2015,113.0,113.0,113.0,113.0,"0,00K","-0,62%",113.0,113.0,113.0,113.0
01/06/2015,111.0,111.0,111.0,111.0,"0,01K","-1,77%",111.0,111.0,111.0,111.0
02/06/2015,111.0,111.0,111.0,111.0,"0,01K","0,00%",111.0,111.0,111.0,111.0
03/06/2015,111.0,111.0,111.0,111.0,"0,75K","0,00%",111.0,111.0,111.0,111.0
04/06/2015,110.0,110.0,110.0,110.0,"0,00K","-0,90%",110.0,110.0,110.0,110.0
05/06/2015,111.005,111.005,111.005,111.005,"0,01K","0,91%",111.005,111.005,111.005,111.005
08/06/2015,115.0,115.0,115.0,115.0,"0,13K","3,60%",115.0,115.0,115.0,115.0
09/06/2015,118.0,118.0,118.0,118.0,"0,01K","2,61%",118.0,118.0,118.0,118.0
10/06/2015,111.0,111.0,111.0,111.0,"0,01K","-5,93%",111.0,111.0,111.0,111.0
11/06/2015,111.0,111.0,111.0,111.0,"0,12K","0,00%",111.0,111.0,111.0,111.0
12/06/2015,111.0,111.0,111.0,111.0,"0,01K","0,00%",111.0,111.0,111.0,111.0
15/06/2015,102.675,102.675,102.675,102.675,"0,04K","-7,50%",102.675,102.675,102.675,102.675
17/06/2015,105.0,105.0,105.0,105.0,"0,01K","2,26%",105.0,105.0,105.0,105.0
18/06/2015,111.0,111.0,111.0,111.0,"0,07K","5,71%",111.0,111.0,111.0,111.0
19/06/2015,111.0,111.0,111.0,111.0,"0,06K","0,00%",111.0,111.0,111.0,111.0
22/06/2015,111.0,111.0,111.0,111.0,"0,06K","0,00%",111.0,111.0,111.0,111.0
23/06/2015,115.0,115.0,115.0,115.0,"0,05K","3,60%",115.0,115.0,115.0,115.0
25/06/2015,115.0,115.0,115.0,115.0,"0,01K","0,00%",115.0,115.0,115.0,115.0
29/06/2015,115.0,115.0,115.0,115.0,"0,00K","0,00%",115.0,115.0,115.0,115.0
01/07/2015,115.0,115.0,115.0,115.0,"0,01K","0,00%",115.0,115.0,115.0,115.0
02/07/2015,115.0,115.0,115.0,115.0,"0,10K","0,00%",115.0,115.0,115.0,115.0
06/07/2015,115.0,115.0,115.0,115.0,"0,10K","0,00%",115.0,115.0,115.0,115.0
07/07/2015,111.005,111.005,111.005,111.005,"0,05K","-3,47%",111.005,111.005,111.005,111.005
09/07/2015,112.0,112.0,112.0,112.0,"1,76K","0,90%",112.0,112.0,112.0,112.0
10/07/2015,111.01,111.01,111.01,111.01,"0,04K","-0,88%",111.01,111.01,111.01,111.01
13/07/2015,112.0,112.0,112.0,112.0,"0,01K","0,89%",112.0,112.0,112.0,112.0
15/07/2015,115.0,115.0,115.0,115.0,"0,04K","2,68%",115.0,115.0,115.0,115.0
16/07/2015,112.505,112.505,112.505,112.505,"0,07K","-2,17%",112.505,112.505,112.505,112.505
20/07/2015,119.3,119.3,119.3,119.3,"0,02K","6,04%",119.3,119.3,119.3,119.3
22/07/2015,112.01,112.01,112.01,112.01,"0,01K","-6,11%",112.01,112.01,112.01,112.01
23/07/2015,112.01,112.01,112.01,112.01,"0,05K","0,00%",112.01,112.01,112.01,112.01
27/07/2015,112.2,112.2,112.2,112.2,"0,10K","0,17%",112.2,112.2,112.2,112.2
28/07/2015,112.01,112.01,112.01,112.01,"0,12K","-0,17%",112.01,112.01,112.01,112.01
29/07/2015,113.0,113.0,113.0,113.0,"0,05K","0,88%",113.0,113.0,113.0,113.0
30/07/2015,114.75,114.75,114.75,114.75,"0,02K","1,55%",114.75,114.75,114.75,114.75
31/07/2015,119.3,119.3,119.3,119.3,"0,00K","3,97%",119.3,119.3,119.3,119.3
03/08/2015,119.3,119.3,119.3,119.3,"0,01K","0,00%",119.3,119.3,119.3,119.3
04/08/2015,119.3,119.3,119.3,119.3,"0,00K","0,00%",119.3,119.3,119.3,119.3
06/08/2015,120.0,120.0,120.0,120.0,"0,00K","0,59%",120.0,120.0,120.0,120.0
10/08/2015,120.21,120.21,120.21,120.21,"0,08K","0,18%",120.21,120.21,120.21,120.21
11/08/2015,127.0,127.0,127.0,127.0,"0,02K","5,65%",127.0,127.0,127.0,127.0
13/08/2015,125.0,125.0,125.0,125.0,"0,04K","-1,57%",125.0,125.0,125.0,125.0
14/08/2015,128.99,128.99,128.99,128.99,"0,01K","3,19%",128.99,128.99,128.99,128.99
17/08/2015,128.05,128.05,128.05,128.05,"0,03K","-0,73%",128.05,128.05,128.05,128.05
18/08/2015,128.99,128.99,128.99,128.99,"0,04K","0,73%",128.99,128.99,128.99,128.99
19/08/2015,128.05,128.05,128.05,128.05,"0,09K","-0,73%",128.05,128.05,128.05,128.05
21/08/2015,126.005,126.005,126.005,126.005,"0,03K","-1,60%",126.005,126.005,126.005,126.005
24/08/2015,126.0,126.0,126.0,126.0,"0,08K","0,00%",126.0,126.0,126.0,126.0
26/08/2015,126.0,126.0,126.0,126.0,"0,14K","0,00%",126.0,126.0,126.0,126.0
27/08/2015,126.7,126.7,126.7,126.7,"0,17K","0,56%",126.7,126.7,126.7,126.7
28/08/2015,127.0,127.0,127.0,127.0,"0,01K","0,24%",127.0,127.0,127.0,127.0
31/08/2015,127.5,127.5,127.5,127.5,"0,08K","0,39%",127.5,127.5,127.5,127.5
01/09/2015,128.0,128.0,128.0,128.0,"0,03K","0,39%",128.0,128.0,128.0,128.0
02/09/2015,128.0,128.0,128.0,128.0,"0,02K","0,00%",128.0,128.0,128.0,128.0
03/09/2015,126.05,126.05,126.05,126.05,"1,03K","-1,52%",126.05,126.05,126.05,126.05
07/09/2015,124.0,124.0,124.0,124.0,"0,03K","-1,63%",124.0,124.0,124.0,124.0
08/09/2015,123.795,123.795,123.795,123.795,"0,02K","-0,17%",123.795,123.795,123.795,123.795
09/09/2015,122.0,122.0,122.0,122.0,"0,06K","-1,45%",122.0,122.0,122.0,122.0
