Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
17/10/2014,50.0,50.0,50.0,50.0,"0,01K","0,00%",50.0,50.0,50.0,50.0
20/10/2014,50.0,50.0,50.0,50.0,"0,03K","0,00%",50.0,50.0,50.0,50.0
21/10/2014,50.0,50.0,50.0,50.0,"0,53K","0,00%",50.0,50.0,50.0,50.0
27/10/2014,50.0,50.0,50.0,50.0,"0,00K","0,00%",50.0,50.0,50.0,50.0
28/10/2014,50.0,50.0,50.0,50.0,"0,10K","0,00%",50.0,50.0,50.0,50.0
29/10/2014,50.0,50.0,50.0,50.0,"0,00K","0,00%",50.0,50.0,50.0,50.0
30/10/2014,50.0,50.0,50.0,50.0,"0,10K","0,00%",50.0,50.0,50.0,50.0
03/11/2014,50.0,50.0,50.0,50.0,"0,02K","0,00%",50.0,50.0,50.0,50.0
05/11/2014,50.0,50.0,50.0,50.0,"0,01K","0,00%",50.0,50.0,50.0,50.0
10/11/2014,49.995,49.995,49.995,49.995,"0,00K","-0,01%",49.995,49.995,49.995,49.995
11/11/2014,49.795,49.795,49.795,49.795,"0,02K","-0,40%",49.795,49.795,49.795,49.795
12/11/2014,49.8,49.8,49.8,49.8,"0,02K","0,01%",49.8,49.8,49.8,49.8
13/11/2014,49.8,49.8,49.8,49.8,"0,15K","0,00%",49.8,49.8,49.8,49.8
17/11/2014,50.0,50.0,50.0,50.0,"0,00K","0,40%",50.0,50.0,50.0,50.0
18/11/2014,50.0,50.0,50.0,50.0,"0,00K","0,00%",50.0,50.0,50.0,50.0
20/11/2014,50.0,50.0,50.0,50.0,"0,02K","0,00%",50.0,50.0,50.0,50.0
25/11/2014,50.0,50.0,50.0,50.0,"0,01K","0,00%",50.0,50.0,50.0,50.0
26/11/2014,49.99,49.99,49.99,49.99,"0,01K","-0,02%",49.99,49.99,49.99,49.99
28/11/2014,49.99,49.99,49.99,49.99,"0,04K","0,00%",49.99,49.99,49.99,49.99
04/12/2014,49.99,49.99,49.99,49.99,"0,00K","0,00%",49.99,49.99,49.99,49.99
09/12/2014,47.95,47.95,47.95,47.95,"0,05K","-4,08%",47.95,47.95,47.95,47.95
10/12/2014,47.95,47.95,47.95,47.95,"0,10K","0,00%",47.95,47.95,47.95,47.95
